Source,Target,Type,Id,Label,timeset,Weight
@1111Joey,@nbc,Directed,61653,,,1
@123daisyanne,@girlsreallyrule,Directed,16149,,,1
@123daisyanne,@Twitter,Directed,16150,,,1
@12voltman60,@DeeDeeldn,Directed,15811,,,1
@12voltman60,@fids777,Directed,15806,,,1
@12voltman60,@JackisBack,Directed,15808,,,1
@12voltman60,@MikeHayes61,Directed,15809,,,1
@12voltman60,@Nigel_Farage,Directed,15812,,,1
@12voltman60,@SaveMySweden,Directed,15807,,,1
@12voltman60,@welshscouse74,Directed,15813,,,1
@1300KWL,@CarleyShimkus,Directed,22150,,,1
@1300KWL,@ComfortablySmug,Directed,42320,,,1
@1300KWL,@JackPosobiec,Directed,43258,,,1
@1300KWL,@mattyglesias,Directed,60407,,,1
@137_Web,@FLOTUS,Directed,9974,,,1
@137_Web,@jimmykimmel,Directed,9973,,,1
@137_Web,@KayaJones,Directed,9971,,,1
@1421carter,@arresteddev,Directed,29773,,,1
@14uonly,@politico,Directed,28127,,,1
@16po,@Starbucks,Directed,12709,,,1
@1776BetsyRoss,@alwaystheself,Directed,40023,,,1
@1776BetsyRoss,@comon_cents,Directed,33858,,,1
@1776BetsyRoss,@DanaPerino,Directed,18952,,,1
@1776BetsyRoss,@FLOTUS,Directed,40022,,,1
@1776BetsyRoss,@FoxNews,Directed,33862,,,1
@1776BetsyRoss,@HowardKurtz,Directed,33861,,,1
@1776BetsyRoss,@jimmykimmel,Directed,40021,,,1
@1776BetsyRoss,@KayaJones,Directed,40020,,,1
@1776BetsyRoss,@KeithOlbermann,Directed,18948,,,1
@1776BetsyRoss,@LeahR77,Directed,33859,,,1
@1776BetsyRoss,@POTUS,Directed,18949,,,1
@1776BetsyRoss,@RoseanneOnABC,Directed,18947,,,1
@1776BetsyRoss,@ToddHeadleeAZ,Directed,18945,,,1
@1776Stonewall,@FOXTV,Directed,3744,,,1
@17b7d325be1d454,@GeorgeNickle3,Directed,13910,,,1
@17b7d325be1d454,@GOP,Directed,13913,,,1
@17b7d325be1d454,@morgfair,Directed,13911,,,1
@17DISH,@Disney,Directed,40345,,,1
@17DISH,@Mikel_Jollett,Directed,40343,,,1
@17MAGA76,@LawrenceBJones3,Directed,59769,,,1
@18hariprakash18,@Hebron4824,Directed,30718,,,1
@1950jazzy,@RealJack,Directed,31177,,,1
@1971Cricket,@Jali_Cat,Directed,19675,,,1
@1971Cricket,@PressSec,Directed,19677,,,1
@1981Laroche,@DJSeanHaley,Directed,31780,,,1
@1981Laroche,@DonCheadle,Directed,31782,,,1
@1981Laroche,@RoseanneOnABC,Directed,31783,,,1
@1981Laroche,@SQLKohai,Directed,31781,,,1
@1981Laroche,@symmo1969,Directed,31779,,,1
@1983dodgers,@ADL_National,Directed,48126,,,1
@1983dodgers,@chrislhayes,Directed,23201,,,1
@1983dodgers,@GlennKesslerWP,Directed,48124,,,1
@1983dodgers,@MSNBC,Directed,23203,,,1
@1983dodgers,@rosierifka,Directed,48123,,,1
@1983dodgers,@ValerieJarrett,Directed,23202,,,1
@1991Zjddoif,@LisaMei62,Directed,42410,,,1
@19AnthonyG89,@FoxNews,Directed,32812,,,1
@19AnthonyG89,@jefferyclark,Directed,32811,,,1
@19AnthonyG89,@JessicaTarlov,Directed,32813,,,1
@1Amabo2Go,@abc,Directed,59696,,,1
@1Amabo2Go,@atensnut,Directed,59693,,,1
@1Amabo2Go,@DearAuntCrabby,Directed,59695,,,1
@1Amabo2Go,@OliverMcGee,Directed,41712,,,1
@1Amabo2Go,@therealroseanneDearAuntCrabby,Directed,59694,,,1
@1AmPocohontas,@8fuld,Directed,47990,,,1
@1AmPocohontas,@DonitaDRKennedy,Directed,13350,,,1
@1AmPocohontas,@ItsPBJ1time,Directed,47989,,,1
@1AmPocohontas,@LeslieATyler,Directed,47988,,,1
@1AmPocohontas,@RoseanneOnABC,Directed,47991,,,1
@1AmPocohontas,@TrvlPrst,Directed,47987,,,1
@1angryhillbilly,@dmason8652,Directed,2040,,,1
@1blessedbee,@CocoaSwann,Directed,34123,,,1
@1blessedbee,@PeterSweden7,Directed,34124,,,1
@1charlieprince,@puffballsgirl,Directed,10591,,,1
@1cheriebaby,@OliverMcGee,Directed,39362,,,1
@1cheriebaby,@Real_Gaz,Directed,46469,,,1
@1cheriebaby,@solentgreenis,Directed,52200,,,1
@1crosbycat,@385parkplace,Directed,23454,,,1
@1crosbycat,@brianbsaleh,Directed,23450,,,1
@1crosbycat,@MARS0411,Directed,23452,,,1
@1crosbycat,@Odonata_Anon,Directed,23451,,,1
@1crosbycat,@SGTreport,Directed,23455,,,1
@1CynicalCyborg,@RoseanneOnABC,Directed,26236,,,1
@1DeplorableGirl,@kathygriffin,Directed,5819,,,1
@1fritiof,@POPSUGAREnt,Directed,28152,,,1
@1FroggyEvening,@MyDawhaHasWings,Directed,36004,,,1
@1jasonthemason,@1Romans58,Directed,32311,,,1
@1jasonthemason,@bbusa617,Directed,32312,,,1
@1jasonthemason,@VP,Directed,32313,,,1
@1Javierson,@InsideOutLaw,Directed,32224,,,1
@1Javierson,@NFL,Directed,32228,,,1
@1Javierson,@whatupJD3,Directed,32225,,,1
@1Jedi_Rey,@Disney,Directed,14355,,,1
@1JoeBear1,@TheTweetOfGod,Directed,6917,,,1
@1johnG,@willbarrett_1,Directed,41121,,,1
@1licorice1,@charliesheen,Directed,53074,,,1
@1licorice1,@MarkSimoneNY,Directed,54995,,,1
@1line2line3,@Twitter,Directed,52978,,,1
@1LogicalMan,@NolteNC,Directed,48951,,,1
@1mimi4ever,@achirichella,Directed,43334,,,1
@1mimi4ever,@THEsaragilbert,Directed,43335,,,1
@1mimi4ever,@ToniinTexas,Directed,43333,,,1
@1MoorDebz,@indiewire,Directed,25641,,,1
@1MoralUniverse,@JackPosobiec,Directed,43296,,,1
@1MoralUniverse,@MollyJongFast,Directed,43297,,,1
@1MoralUniverse,@UdayandQusay,Directed,43295,,,1
@1Munder,@YouTube,Directed,33035,,,1
@1myindependence,@1Romans58,Directed,23843,,,1
@1myindependence,@VP,Directed,23844,,,1
@1no_censorship,@FoxNews,Directed,35897,,,1
@1no_censorship,@JessicaTarlov,Directed,35898,,,1
@1no_censorship,@politico,Directed,20038,,,1
@1no_censorship,@thehill,Directed,7440,,,1
@1pearljamfan,@Disney,Directed,22516,,,1
@1pearljamfan,@RajaBleedsBlue,Directed,22514,,,1
@1pearljamfan,@RoseanneOnABC,Directed,16882,,,1
@1pootinlady,@Jefftuttle,Directed,5216,,,1
@1pootinlady,@Mardcon,Directed,5217,,,1
@1pootinlady,@ryanfeinberg407,Directed,5219,,,1
@1pootinlady,@thenatureboiiii,Directed,5218,,,1
@1pricklypear,@HAGOODMANAUTHOR,Directed,54406,,,1
@1pricklypear,@LadyReverb,Directed,58719,,,1
@1pricklypear,@mysticmama777,Directed,54404,,,1
@1pricklypear,@wade_yeakle,Directed,58179,,,1
@1Romans58,@abcnews,Directed,29200,,,1
@1Romans58,@ABCPolitics,Directed,42095,,,1
@1Romans58,@FoxNews,Directed,29199,,,1
@1Romans58,@FOXTV,Directed,52526,,,1
@1Romans58,@JoyVBehar,Directed,42097,,,1
@1Romans58,@macker_da,Directed,41078,,,1
@1Romans58,@VP,Directed,8484,,,1
@1RonnieD,@brianstelter,Directed,55611,,,1
@1RonnieD,@JackPosobiec,Directed,59909,,,1
@1SassyLadyDi,@OfficialJonZal,Directed,4087,,,1
@1st_and_only,@EdKrassen,Directed,55068,,,1
@1st_and_only,@ITMFA_NOW,Directed,55066,,,1
@1st_and_only,@JerriSwann21,Directed,55065,,,1
@1st_and_only,@ScottDaniels447,Directed,55063,,,1
@1st_and_only,@thegeissberger,Directed,55067,,,1
@1st_and_only,@thepolyjunki,Directed,55064,,,1
@1stMosesNowThis,@ChelseaClinton,Directed,15838,,,1
@1stMosesNowThis,@holachola,Directed,15835,,,1
@1stMosesNowThis,@OpenSociety,Directed,15839,,,1
@1stMosesNowThis,@the_anne_tie,Directed,15836,,,1
@1sweetkahili,@carlcannova,Directed,17805,,,1
@1sweetkahili,@cheryl0606,Directed,42659,,,1
@1sweetkahili,@JuseBeats,Directed,42660,,,1
@1sweetkahili,@SeanLethcoe,Directed,42661,,,1
@1sweetkahili,@TRPhrophet,Directed,17806,,,1
@1TitanTyler,@ladyhawkerfinds,Directed,46587,,,1
@1twig,@FOXTV,Directed,56791,,,1
@1UglySavage,@CNN,Directed,2323,,,1
@1UglySavage,@JackPosobiec,Directed,2322,,,1
@1vegasjack,@EdKrassen,Directed,54706,,,1
