Assigned To	Code	Date	User	Tweet
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:37 +0000 2018	sharonwhetston1	@tmasonmi5 @Rosie @HippieAdventure @therealroseanne But it's ok Jamie Fox to do his offensive impression of a white... https://t.co/XV6pgm3VWV
Aditya Bhat	Neutral	Tue May 29 18:57:38 +0000 2018	Quactz	Absolutely shameful that LIBERAL IDIOTS at ABC would cancel Roseanne simply because the star of the show *check not... https://t.co/0WCa6ZSrPr
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:57:38 +0000 2018	EmmyFansTumblr	@therealroseanne @ABC was looking for a reason to cancel your show all the shit the left gets by with free speech is only for the left
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:39 +0000 2018	MAGMAUS	@DevenciaK @therealroseanne @POTUS One thing may prove difficult. Laurie and the other little 'view' girl may not b... https://t.co/Tv0Mu3zegd
Carmen Collins	Anti-Roseanne	Tue May 29 18:57:39 +0000 2018	Kottick82	@therealroseanne OT FORGIVEN! YOU ARE HEARTLESS! YOU WILL BE A FAILURE IN THE VERY NEAR FUTURE! WASHED UP! BLACKLISTED!
Sarah Jackson	Pro-Roseanne	Tue May 29 18:57:40 +0000 2018	TVGuide	@pepprgrl @therealroseanne Calling like I see it is the NORM now!
Carmen Collins	Pro-Roseanne	Tue May 29 18:57:41 +0000 2018	SoniaMartinGuti	Bring @RoseanneOnABC BACK! @abc @therealroseanne
Sigfried Gold	Neutral	Tue May 29 18:57:41 +0000 2018	eblittlehill	ABC Cancels  'Roseanne',  Calls  Roseanne Barr's Racist Tweet 'Abhorrent' and 'Repugnant' https://t.co/yoK3A5ScQG via @people
Sarah Jackson	Anti-Roseanne	Tue May 29 18:57:41 +0000 2018	alstottmmm	Just when I (wasn't) going to watch Roseanne, they canceled it. Oh man, I'm crushed!
Aditya Bhat	Anti-Roseanne	Tue May 29 18:57:42 +0000 2018	TuckerKtb	@PWoodrowTheIII @EdKrassen @therealroseanne You relax!  If someone referred to you or your children that way, you'd be pissed too
Aditya Bhat	Neutral	Tue May 29 18:57:42 +0000 2018	katiecarman	Why are we holding our own President to a different standard??? All Racists Must Go. We cancelled 'Roseanne', we go... https://t.co/VOZ9SC1S5R
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:57:42 +0000 2018	ScottDaniels447	In light of today's Roseanne travails, a little instrumental music should calm the twitters. https://t.co/ifO9kIMPMp
Kristen Byers	Anti-Roseanne	Tue May 29 18:57:43 +0000 2018	VolDudez	@ABCNetwork @therealroseanne joke was incredibility wrong, just as wrong as @KeithOlbermann tweet to... https://t.co/eVQKFpjnLX
Carmen Collins	Anti-Roseanne	Tue May 29 18:57:43 +0000 2018	dlindberg212	@therealroseanne Karma Bitch
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:57:43 +0000 2018	HenHousePodcast	@therealroseanne The thing is, it's okay for the left with racist Blackish to spew white hatred for years. Maybe th... https://t.co/IigjnqPdcT
