Assigned To	Code	Date	User	Tweet
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:15 +0000 2018	MelodyM75	Roseanne
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:15 +0000 2018	BrianMarks356	@CNN Don't watch nor care about Roseanne's show. But Disney , keep up the good work. Especially ur sexualization of... https://t.co/l5FGDALh4a
Sarah Jackson	Pro-Roseanne	Tue May 29 18:21:15 +0000 2018	RobertJ76432552	@DarbaDee @soonerrick @Lani6400 @therealroseanne Any publicity is good publicity!
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:15 +0000 2018	cfv1961	@therealroseanne I never thought I'd hear things like that out of your mouth Roseanne, and I'm ashamed of you! Leav... https://t.co/GcTEhCGMti
Aditya Bhat	Neutral	Tue May 29 18:21:16 +0000 2018	copywronger	Future Headline: @FoxNews picks up Roseanne's 2nd season.
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:16 +0000 2018	CrissyLee	Roseanne
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:16 +0000 2018	md3td	@ashleylynch Might have something to do with attacking people with connections. Roseanne was always a bigot.
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:17 +0000 2018	MattchewGregory	@LLBe11 @therealroseanne @ABCNetwork agree
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:17 +0000 2018	FrostbiteBlizz	GOD DAMMIT ROSEANNE
Sarah Jackson	Anti-Roseanne	Tue May 29 18:21:17 +0000 2018	cupidxo	Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with our values, and we have decided to canc... https://t.co/R4Y8A06f9e
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:18 +0000 2018	SusanStone12	@TheTweetOfGod @realDonaldTrump @therealroseanne Deep State and obama conspired to take PTRIOT Roseanne off th teev... https://t.co/HkeKCVCzGS
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:18 +0000 2018	DollComics	Channing Dungey is not playing games. Roseanne, TV's highest-rated scripted series, is canceled. (Cue Tuba Lungfish meltdown in 3, 2, 1...)
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:18 +0000 2018	mayaamatlin	@therealroseanne you really are bottom of the barrel uh https://t.co/IsAzVRwrR0
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:19 +0000 2018	sora51987925	@LogicalDictator @TheTweetOfGod @realDonaldTrump @therealroseanne i started it https://t.co/3nlbnsq9h7
Sigfried Gold	Pro-Roseanne	Tue May 29 18:21:19 +0000 2018	DubstepInDPRK	@therealroseanne Don't leave, your a breath of fresh air....double standard is in play! Scientist have it that we all evolved from apes...
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:19 +0000 2018	bob82755069	Roseanne
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:19 +0000 2018	aerienari	This thing in AMERICA where we all expect everyone to be PERFECT and like never have a negative thought has got to... https://t.co/WDFTQQ0CoE
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:20 +0000 2018	SchneiderSTLMO	@have_some_salt @Juliess31 @CarmineSabia @therealroseanne I think the lesson here is that celebrities don't underst... https://t.co/eEdmqj13lp
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:20 +0000 2018	USAFan76	@MarkDice @therealroseanne Exactly!
Kristen Byers	Pro-Roseanne	Tue May 29 18:21:20 +0000 2018	movieguns	I'll go Roseanne one better. Valerie Jarret is living proof that buffalo are making a come back.
Sarah Jackson	Anti-Roseanne	Tue May 29 18:21:20 +0000 2018	Allen9534	@forthe_wall @TwitterMoments You're a idiot go help @therealroseanne pack her bags
Sarah Jackson	Pro-Roseanne	Tue May 29 18:21:20 +0000 2018	chipandcompany	MAGA
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:21 +0000 2018	StpDngWerdThins	FreeRoseanne
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:21 +0000 2018	Brexitnews1	eu
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:21 +0000 2018	qearone	Mike Pompeo watch your ass. Roseanne is looking for a j-o-b!
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:21 +0000 2018	Vincentlcollins	@desusnice Or she won't.      https://t.co/6iPKYv3Gzi
Carmen Collins	Neutral	Tue May 29 18:21:21 +0000 2018	lightsdelight_	ABC cancela la serie 'Roseanne' tras un tuit racista de su protagonista https://t.co/qFnpMVMGOH
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:21 +0000 2018	Schneides97	How long until @realDonaldTrump hires Roseanne as Communications Director?
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:21 +0000 2018	firebird20001	Roseanne' i knew there was a valid reason i didn't like her: i just didn't know what it was. No i dow and it's dis... https://t.co/bBBvTPkLWN
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:21 +0000 2018	jhgriffin3	@DanaPerino @FoxNewsIive @therealroseanne was a continuation of show 1968 on CNN where a black man says blacks went... https://t.co/Lp4ESaMGcA
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:22 +0000 2018	JClaypool74	@ikebarinholtz Exactly what I tweeted to @THEsaragilbert: you knew exactly who she was before you signed that contr... https://t.co/hRYJaS6Iny
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:23 +0000 2018	KimmieGobbler	.@FoxNews , @therealroseanne is free to be an expert analyst now.
Carmen Collins	Neutral	Tue May 29 18:21:23 +0000 2018	cubanstogie	ABC cancels 'Roseanne' following star's racist tweet https://t.co/2K25lz7mDQ via @fox17
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:23 +0000 2018	shazmigangs	@MARS0411 @gigikite @larryhouse @kelleent @BariAWilliams @therealroseanne @SGTreport @ABCNetwork @blackishabc... https://t.co/zsU5YY43wI
Sarah Jackson	Neutral	Tue May 29 18:21:23 +0000 2018	AlphaAdams86	Wanda Sykes quits 'Roseanne' before ABC cancels show  https://t.co/nQUuUMBCNZ
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:24 +0000 2018	Rookie_AgentB	@chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne She is a power whore
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:24 +0000 2018	karinalg	@therealroseanne @ChelseaClinton @OpenSociety Soros was a child at the end of WWII. Are you aware of that?  You are... https://t.co/JiI0RECDLg
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:24 +0000 2018	phlop_Ryan	@pasbribeacon @KrangTNelson yeah, ok buddy. I'm gonna put you on *mute* now. Enjoy your Echo Chamber. Say Hi To... https://t.co/uBlzGGk7GD
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:25 +0000 2018	LAguitartist	whinysnowflakes
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:25 +0000 2018	Pete_Da_Pirate	Interesting that Roseanne has 666K followers. Wondering if that is real or just Twitter trolling people at George Soros' direction.
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:25 +0000 2018	dhiggins63	Roseanne
Sarah Jackson	Anti-Roseanne	Tue May 29 18:21:25 +0000 2018	sharphilly1948	@MarkDice @RobertIger I do not agree with what Roseanne tweeted, but if morals you are looking at- then how is this ok?
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:26 +0000 2018	Voices_Carrie86	@ConservaMomUSA @therealroseanne @HillaryClinton  https://t.co/b2H1XO4iqk
Michael Joseph, III	Neutral	Tue May 29 18:21:26 +0000 2018	_j_cc_	Roseanne Barr show axed over racist slur https://t.co/fPlyTVi5Gx https://t.co/TFUPQG6PYr
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:27 +0000 2018	worldat247	@FoxNews Ok . Is this ok ? But Roseanne can't say anything ! Wrong . Come on people !stop it
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:27 +0000 2018	donholley0	I say no apology necessary @therealroseanne  to @ValerieJarrett. Where is the U.S. citizens apology from O being a... https://t.co/YiExRmaB0C
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:27 +0000 2018	Marketers_Edge	@RoseanneOnABC Delete this page you killed your show             It doesn't pay to be racist, does it? It looks like Melanie... https://t.co/5jEXQoHnFE
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:27 +0000 2018	Mikhael1979	@rdlvnlfe @MSNBC Roseanne terminated
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:28 +0000 2018	ShaineHolmes	I wish they could cancel Trumps presidency, the same way they cancelled Roseanne show.
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:28 +0000 2018	moscatomom666	RoseanneBarr
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:28 +0000 2018	RiskyLiberal	Bhahahahahahaha @therealroseanne.
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:29 +0000 2018	thegenderbook	@ABCNetwork kudos for canceling @therealroseanne show.... but all the ppl that work at that show are now outta work... https://t.co/yGBdXZsIws
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:29 +0000 2018	PattySprunt	@therealroseanne Guess you're leaving for good now!!!
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:29 +0000 2018	HiredHelp	@ABCNetwork you cancelled two great shows Roseanne and designed survivor l!! You suck ABC !!
Michael Joseph, III	Neutral	Tue May 29 18:21:29 +0000 2018	SoooInTrouble	Meet Channing Dungey, President of ABC and the woman that just pulled the plug on "Roseanne". This is why "REPRESEN... https://t.co/1U2zmUDRDX
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:29 +0000 2018	Libby_H_21	@SurveyMonkey Just read today's tweet from Roseanne Barr, which got her show canceled: "Roseanne's Twitter statemen... https://t.co/qwciDsXHTk
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:30 +0000 2018	davidjscott5	@THR Nope. This is who Roseanne is and has always been. Her twitter feed, her statements and actions over the years... https://t.co/kJeVtGM9gj
Sarah Jackson	Pro-Roseanne	Tue May 29 18:21:30 +0000 2018	andrewehaas	@hrtablaze   We stand with Roseanne
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:31 +0000 2018	ocnamc	@thejimjams @Miss_DeMeanor2 Wish we would have known how to get rid of her years ago. Thanks @therealroseanne. Who knew it was that easy!
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:31 +0000 2018	joemcadam	@iamtimfoley They'll find other work. I just hope Roseanne doesn't
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:32 +0000 2018	tlq1958	@RobertIger You and your 'Anything But Conservative' network hate @therealroseanne and were waiting like vultures t... https://t.co/h5kmH1kHZS
Suzanne Garcia	Neutral	Tue May 29 18:21:32 +0000 2018	allisona15	How is the roseanne post racist??
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:32 +0000 2018	Spenceerious	To quote Gomer Pyle: "Well surprise, surprise, surprise..." https://t.co/xuYRBJt09d
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:32 +0000 2018	mostlyrighthere	@ClayTravis @KeithOlbermann @realDonaldTrump @espn @therealroseanne Maybe subconsciously, even Clay disagrees with... https://t.co/0YBBvwXb9y
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:33 +0000 2018	Hayes1912	@therealroseanne No reason to leave.  @kathygriffin 's dumb ass was way worse
Suzanne Garcia	Neutral	Tue May 29 18:21:33 +0000 2018	vantelmusthave	@joshdcaplan @NBCNews This Bob Iger? Roseanne Bob Iger to Host Fundraiser for Vulnerable Democratic Senators in 201... https://t.co/yd83nQfSTW
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:33 +0000 2018	chinmaicanirish	@therealroseanne Roseanne, while your Jarrett joke may have been in bad taste, you did apologize. She is a woman li... https://t.co/sV7oDR3qB1
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:33 +0000 2018	marcmargolis	@ABCNetwork  Now that ABC has canceled Roseanne,   It should have room to pick up "LUCIFER" !!!
Sarah Jackson	Anti-Roseanne	Tue May 29 18:21:33 +0000 2018	Deirdre926	@coleyworld @andylassner Yes and the way that we put racism behind us is to call it out specifically, make the worl... https://t.co/Cg9RYsULAy
Kristen Byers	Neutral	Tue May 29 18:21:34 +0000 2018	garyoscarlaun	So Roseanne got canceled? They should let everybody else on the show continue making it, just without Barr. Call it... https://t.co/ey3Ral99b3
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:34 +0000 2018	truegritter90	@sharonfisher53 @soonerrick @BethB1213 @therealroseanne @ABCNetwork Ha!!! Sharon you goofy twat!!!!
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:34 +0000 2018	lovusa4	@Snarrffer You're right, he's not a liberal but he took a liberal stance against Roseanne and comes off as an eliti... https://t.co/XFRPUXTjI0
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:34 +0000 2018	LydiaSnider	@KLouie70 @charliekirk11 @therealroseanne They* ??
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:34 +0000 2018	Superflydcd	@therealroseanne See where being a racist gets you lol https://t.co/izpILBHGKl
Carmen Collins	Neutral	Tue May 29 18:21:35 +0000 2018	somethingawful	Roseanne' canceled after star goes on racist Twitter rant against Chicago's Valerie Jarrett. https://t.co/QlzQYZp5cI
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:35 +0000 2018	PlanetComicon	WTG @therealroseanne your big mouth really did it this time. You actually had a hit AGAIN and you ruined it for eve... https://t.co/gPo5U5TVEJ
Suzanne Garcia	Neutral	Tue May 29 18:21:35 +0000 2018	Denaahii	@therealroseanne Roseanne Canceled Barr
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:35 +0000 2018	northernscums	@thenatureboiiii @ryanfeinberg407 @therealroseanne  https://t.co/261mdgcKlF
Sarah Jackson	Neutral	Tue May 29 18:21:35 +0000 2018	tsracewife	ABC has canceled 'Roseanne' after  Roseanne, went on a vitriolic and racist Twitter rampage - The Washington Post https://t.co/hhRDL9mI7f
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:36 +0000 2018	HakunaTheFckNot	@therealroseanne see when you do clownery.. the clown comes back to bite.
Kristen Byers	Neutral	Tue May 29 18:21:36 +0000 2018	prometheus50K	Now that Roseanne has been canceled, I can finally say, I wish I knew what happened to crystal. Her husband fell in... https://t.co/WOGwMFU2Ox
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:36 +0000 2018	WCJB20	YES!!!a https://t.co/FkMtv4PT7i
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:37 +0000 2018	bbttychmbrs1	https://t.co/1CWlWcflDr
Carmen Collins	Neutral	Tue May 29 18:21:37 +0000 2018	jtprov	Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says - One less... https://t.co/d5yLXFMkQ0
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:37 +0000 2018	tddfn	TV is just an anti-white propaganda vehicle anyway ... it was weird that they re-booted Roseanne
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:37 +0000 2018	cal_perri	boycottABCNetwork
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:37 +0000 2018	TimGaleAF78	.@therealroseanne I hope you are drafting your apologies to your cast members for literally ruining this endeavor f... https://t.co/arSaVzh3ya
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:37 +0000 2018	ChrisTsakis	Roseanne got cancelled because she's an idiot? Color me shocked.
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:37 +0000 2018	RobbieSherwood	@therealroseanne Just... leave.
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:37 +0000 2018	Shifftbass	I know somebody has a screenshot of @therealroseanne's comments. I'm not the only person (or millions) who missed i... https://t.co/hYYfLRutzu
Sigfried Gold	Neutral	Tue May 29 18:21:37 +0000 2018	FrostieCash	ABC cancels Roseanne after racist tweet https://t.co/0GtujNym7k AWESOME
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:37 +0000 2018	Blue_Orchid_1	Kudos to @ABCNetwork and @Disney for not tolerating @therealroseanne 's racist garbage.
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:38 +0000 2018	MilftasticJJC	Roseanne is done like dinner.' @AirTalk @KPCC
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:38 +0000 2018	ishgooda_l	@ColsonBrad @rickygervais @therealroseanne Lets start with: she was not joking!
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:38 +0000 2018	Kschmidt67	Volvemos a parar rotativas, y menudo diita mas intenso! Primero lo de Ricardo Gomez y ahora que cancelan en ABC Ros... https://t.co/sDobtDndhr
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:38 +0000 2018	rxnet1	Roseanne
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:21:38 +0000 2018	ToddKBailey	NFL players dis the American flag.. and that's freedom of speech (and it's not.. they are employees and employers c... https://t.co/mjysnX5i1e
Kristen Byers	Neutral	Tue May 29 18:21:39 +0000 2018	nativesregon75	Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says... https://t.co/HXEM5RH6pG
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:39 +0000 2018	csg_surferdude	@therealroseanne And because of you, dozens of people, if not more, have lost their jobs.  Not just the actors, but... https://t.co/YsbTUuPHdq
Carmen Collins	Neutral	Tue May 29 18:21:39 +0000 2018	JohnYeoJr	ABC Cancels 'Roseanne' After 'Abhorrent' Twitter Rant From Its Star https://t.co/AIrRgeSEN5
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:39 +0000 2018	Liz4syth	@Lyricoldrap @therealroseanne I knew you were psychic
Kristen Byers	Pro-Roseanne	Tue May 29 18:21:40 +0000 2018	wthanyway	@MarkDice @therealroseanne Absolute, total, complete hypocrisy. Ffs, enough with the gross double-standard of racis... https://t.co/Xwpl85oaX8
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:40 +0000 2018	cofveve61	@burchrhodes @therealroseanne @ChelseaClinton @OpenSociety Do you mean for Hillary?
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:40 +0000 2018	AquaMetriceW	bye felicia!!!!!!  @therealroseanne
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:40 +0000 2018	lufats	@LADFLEG It's like Roseanne meeting a race relations committee
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:21:40 +0000 2018	Rockhillapache	@alyciacooper @brooklyn3r @jodikantor @ValerieJarrett @therealroseanne @ABCNetwork She's never been racist. Is Wand... https://t.co/r5hGwXemIP
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:21:41 +0000 2018	zonomike	Roseanne
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:41 +0000 2018	CChristophr154	@therealroseanne HAHAHA.. you are a third rate comedian.. now your crappy show is cancelled. Good. You filthy peopl... https://t.co/c7DKWcAdui
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:41 +0000 2018	Howdysailor	@justagirlatl @KTHopkins @therealroseanne She is a racist troll...A British (Bulldog) worn out attention slore. And... https://t.co/4WOT7ZQ6TM
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:41 +0000 2018	crafty6565	Who knew Wanda Sykes was on Roseanne? Did they need someone to play the Sandra Bernard role?
Kristen Byers	Pro-Roseanne	Tue May 29 18:21:42 +0000 2018	LauraRohn	@CB618444 @TrumpTrainMRA4 @ABCNetwork I support Roseanne.
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:42 +0000 2018	_mesk	Roseanne bar makes a racist tweet and people tweet at ABC to cancel her show. Like I'm sure they were going to do t... https://t.co/MaF7a9K7DX
Sarah Jackson	Anti-Roseanne	Tue May 29 18:21:42 +0000 2018	GingerDwynwen	The whole conspiracy theory about George Soros as a Nazi that Roseanne tweeted about is ridiculous, look at his bir... https://t.co/2ZR99aMuoO
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:43 +0000 2018	Aled	@TrumpStudents @JoyAnnReid @therealroseanne WAAAAAAAAAAAAA
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:43 +0000 2018	Pointy160	Even by white people standards, Roseanne got away with a lot of horrific shit before ABC decided the money wasn't worth it.
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:43 +0000 2018	staceyshuttles	Are we going to really pretend that Jarret doesn't have a passing resemblance to Dr. Zira? And we're fine with peop... https://t.co/3bA8iahBbM
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:44 +0000 2018	mariah_lambily_	@therealroseanne You are absolutely disgusting! You pride yourself being a 'true American' when you are really the... https://t.co/shvnnP4xtR
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:44 +0000 2018	MiltonF1776	@ceceyy @KayaJones @therealroseanne Here's some logic, since you're implying I'm an idiot. I said the left is comin... https://t.co/Cs6VGY7g9d
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:45 +0000 2018	CloutDiemon	@frederickscior1 @LadyBabs07 @therealroseanne @ABC There
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:45 +0000 2018	jordanrussellny	@LisaMei62 @therealroseanne And this guy... https://t.co/zFZ7TGtHJ2
Carmen Collins	Anti-Roseanne	Tue May 29 18:21:45 +0000 2018	pandaexpanda18	i saw people talking about that roseanne barr tweet before i actually saw the tweet and thought 'oh boy more stupid... https://t.co/Wy1MvnLQGZ
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:45 +0000 2018	sanfideljohn	@Ryan_VanSickle @JackPosobiec @realDonaldTrump @therealroseanne I pray to God that he does! That was a sickening tweet
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:45 +0000 2018	PatMahogna	@sbmont01 @ScottAdamsSays @jcwilder @Amy_Siskind @SamHarrisOrg Thank you for the welcome, and advice. So far, it's... https://t.co/Ph6ggkdi6y
Sigfried Gold	Neutral	Tue May 29 18:21:45 +0000 2018	HollowRides	@StarOne1979 @therealroseanne This wont last long, her ratings were too high and they have too much to lose monetar... https://t.co/7RZzgiho7t
Sigfried Gold	Pro-Roseanne	Tue May 29 18:21:45 +0000 2018	Mama3Cubs	ABC cancels 'Roseanne' after Barr's tweet.  Gimme a break ABC, you were just looking for a way to cancel Roseanne.... https://t.co/rMoHYisYl3
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:45 +0000 2018	joseph_sugg	@AidenWolfe Indeed! Roseanne Barr and her buddy Steve Bannon can now go back to their Coven-Cave and stay there!... https://t.co/cPlgBUjQSM
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:45 +0000 2018	OverAndBackNBA	@therealroseanne Now the whole world hates you! Way to go.....
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:46 +0000 2018	jaydlyn123	@realDonaldTrump what official position are you now going to offer to Roseanne?
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:21:46 +0000 2018	KevoWorld	@FrozenSicleGirl @1charlieprince @puffballsgirl @therealroseanne How Mature. Wow
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:46 +0000 2018	ForMotionCreatv	ByeRoseanne
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:21:46 +0000 2018	sandyklewis	@TVGuide Roseanne Barr is a comedian. Are they going to go after Stephen Collbert, Seth Meyer, Jimmy Fallon,  SNL,... https://t.co/LbSKreQbWo
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:47 +0000 2018	we_dems	@realDonaldTrump how about that racist Roseanne. Ur friend Fired!!!!!!!
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:48 +0000 2018	topgaynewz	The same people mad about Roseanne's 'free speech' being violated because she got fired for being blatantly racist... https://t.co/hhy7RnHYV5
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:48 +0000 2018	CaughtYa164	@CarleyShimkus Who is @ABCNetwork ?  I haven't watched it for years.  Didnt watch Roseanne either.  Much better thi... https://t.co/Gs5LX7Rewn
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:49 +0000 2018	DaddyBeerest	@therealroseanne NEVER APOLOGISE.   Censorship is the devil. These liberal lunatics want to silence free speech for... https://t.co/GYH4SnwmX2
Michael Joseph, III	Neutral	Tue May 29 18:21:50 +0000 2018	FlGatorKing87	ABC drops Roseanne show after racist tweet https://t.co/3dFq2rn3at
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:50 +0000 2018	Robbin_Young	@12StepGolf Yes @therealroseanne's comment "planet of the apes" in reference to Valerie Jarrett was bad and unacceptable, IMHO.
Carmen Collins	Pro-Roseanne	Tue May 29 18:21:51 +0000 2018	dori_one	@ClaireabellGatr @yashar @Roseanne Best tweet of the day
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:51 +0000 2018	guttergeek	MRHA
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:21:51 +0000 2018	coffeeordie	@JenWeeks13 @Tasham315Tasha @MikeyR_05 @RobLaVigne8 @TwitterMoments @FOXTV @LastManStanding @RoseanneOnABC... https://t.co/fn6KXQtvWc
Suzanne Garcia	Neutral	Tue May 29 18:21:52 +0000 2018	ChrisDEnHd1	@puffballsgirl @therealroseanne I agree with you.... I grew up watching Roseanne.... It's just difficult to believe... https://t.co/6M1CVMy1rZ
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:21:52 +0000 2018	MarlonLBuchanan	@therealroseanne Oh what's the matter with all the libs, you are a comedian right. Dopey crybaby Dems
Aditya Bhat	Neutral	Tue May 29 18:21:54 +0000 2018	DCalhounActor	@RGO_Ryan @baseballcrank What rankles me is that if Roseanne had made the comment about Trump, Melania or anyone on... https://t.co/xMtk2aUGl9
Kristen Byers	Anti-Roseanne	Tue May 29 18:21:54 +0000 2018	DebrahBennett1	@therealroseanne We must stop the hate.  Please wake up.      Peace
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:54 +0000 2018	nickstatt	It is frankly outrageous that we have to look to network television executives to establish norms of decency in thi... https://t.co/o55aDSpkjf
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:54 +0000 2018	ewertz	@therealroseanne Way to go!! Now ABC has canceled you and you've put your colleagues out of work, ruined it for tho... https://t.co/Yp7F7cClaZ
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:54 +0000 2018	dkomdkom	Roseanne Barr has got to be the dumbest person on this planet right now
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:21:55 +0000 2018	Hyoton1	@liesandperfidy S11 prologue: actually it was roseanne who died and dan was imagining the whole thing after all. S1... https://t.co/LI22j3i4w9
Kristen Byers	Unclear/Unrelated	Tue May 29 18:21:55 +0000 2018	Biker_Bot1	@CA_Liberal @USA_AllenK @smalltownandrew @BreitbartNews We're going at assume that from your stance on freedom of s... https://t.co/iZ9xKw76ot
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:21:55 +0000 2018	NatIG85949573	Roseanne and I fell out in 2015 over her insistence than Hillary was a murderer and Obama a Muslim. These far-right... https://t.co/s0HDqiIck2
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:21:55 +0000 2018	TeddyBayer	Independent
Sigfried Gold	Anti-Roseanne	Tue May 29 18:21:55 +0000 2018	CharlesBenson4	Why why why couldn't you just shut up, you ruined a great show  revival Roseanne https://t.co/ZqJiAJjQOe
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:21:55 +0000 2018	LeeLewis1972	@pasadenaralph @therealroseanne A private company chooses to not employ someone who openly makes hateful, racist st... https://t.co/dksa2Fyeu8
Suzanne Garcia	Neutral	Tue May 29 18:21:56 +0000 2018	IAmJoshSewell	ABC cancels Roseanne following star's controversial comments  https://t.co/vtti9HV2VJ
Carmen Collins	Unclear/Unrelated	Tue May 29 18:21:57 +0000 2018	vmdswimmer	@DaleLee919 @therealroseanne You look demon possessed lol
