Source,Target
@ballmatthew,@JeremyHodkin
@CNNisDISGUSTING,@Juris_dudence
@TrumpsTime1,@LordOdin57
@JenNongel,@MarkDice
@1Romans58,@macker_da
@Pearl_USA,@madmamma4
@GinaLuciana,@wildhorses_run
@YaMamaLovesIt,@NickEWish
@LittleBabyNick,@mlynnkc1
@oasisupernova,@tsracewife
@staab_teresa,@valesthebarber
@staab_teresa,@itsninoooo
@FuriousNation,@Crash_86
@ijbailey,@HotlineJosh
@JessicaTarlov,@jefferyclark
@JessicaTarlov,@FoxNews
@BhatnagarSanjna,@PutinFluffer
@trmason63,@MsKenman2008
@Ohio_Buckeye_US,@gsteck74
@T_FisherKing,@VeeCeeMurphy76
@The8BitMisfit,@haseebo
@birdankle,@therealroseanne
@StormChaseLisa,@mediaadvantages
@LeslieATyler,@TrvlPrst
@AParra210,@QueenedKara
@SGNSV_,@HavokHawk
@ToddHeadleeAZ,@bang_mohr
@youcrazypants,@4chloebear
@Bluesutherner,@RecipeForTheW
@Bluesutherner,@ElizabethMegna
@Jackies1866109,@MichaelTurchin
@DarbaDee,@ANGIELEEE2
@Microsingular,@IEatChawal
@realPolitiDiva,@KALBRR7339
@cat_hofc,@jungbung48
@RMett2,@JacUup
@myerslee85,@StarMakerBolin
@thepolyjunki,@JerriSwann21
@thepolyjunki,@ITMFA_NOW
@thepolyjunki,@ScottDaniels447
@JimmySheridanPG,@RealJasonWert
@TrumpsACartoon,@TammyHa83398209
@misstinafey,@Dancingdaria
@iDizOrder,@KaiganAnkh
@RealAlexJones,@therealroseanne
@CassandraRules,@Demosthenes47
@Tiggmo17,@PCsucks66
@CLOUD_TAP_LANCE,@DEn8tive77
@DerrickGhent,@TheRealRapbeat
@RadioBizBody,@DogManKG
@AdamAddict,@DarbaDee
@YoungSpud1385,@paulcolrain
@DaveRi0T,@vol4life999
@ChrisFollins,@mike_Zollo
@craznar,@JohnCarlos_1980
@ReginaP87963387,@3guylink
@MichaelGuenot,@Tutankhamun1989
@KellyRN52,@LeslieATyler
@MsTiffPappion,@No_TreadChris
@MsTiffPappion,@DarbaDee
@Thinkery_41,@jsassy74
@ColdplayCM42,@IjeomaOluo
@Cara_TXZEAL,@BluesBrother91
@Cara_TXZEAL,@UrUnpaidPundit
@jskielb3,@Cara_TXZEAL
@jskielb3,@UrUnpaidPundit
@jskielb3,@BluesBrother91
@hilarion777,@puffballsgirl
@DeplorablAnnJoy,@Aproudtrumper
@DeplorablAnnJoy,@PrzybylakSusan
@annefcav,@CryptoPopsicle
@JenWeeks13,@OtterOut0fWater
@JenWeeks13,@Tasham315Tasha
@twitassassin823,@FFremont
@Sa33d209,@FactualStruggle
@behnkelady,@Walkingtall2492
@BeFairToTrump,@jwcummings49
@soonerrick,@Austrexan
@CourtneyMcCain,@Deann60959956
@cigarboyrick82,@shardi596
@shazlv,@Dorothy7x
@Barbara72468224,@Lorrieburns77
@JudyFrances1975,@GamingTrent
@Lyricoldrap,@im_anonhuman
@EvOConnor15,@profitdog
@therealroseanne,@andygh26
@therealroseanne,@soonerrick
@therealroseanne,@debralynnsmith3
@slavenamehere,@Jessicadliss
@donkeychucker2,@JBenischeck
@Cuzco37850132,@Mandalore_1978
@gwmyers,@keithpbarnicle
@CnyRon,@dotdash1961
@annefcav,@RealSSGH
@RickSmithShow,@Betty10987
@Who_Planted_A,@TrumpsTime1
@NoJesusNoPeace1,@rharris7570
@0htheguilt,@cat_blueyes_44
@0htheguilt,@yinzerbinch
@S246278910,@oldmanluvsmineo
@ivory_lisa,@CaughtYa164
@DeannaSader,@beaniebabygriff
@DeannaSader,@vertigo7804
@mitchellvii,@CentristSM
@JECosmeticsinc,@spit_in_da_butt
@drewjanda,@Tfrank1e
@7brdgesroad,@massaro_sherry
@Ebony_Dynamite,@DemSocAss
@Ebony_Dynamite,@DaveSum69747413
@Ebony_Dynamite,@JLenardDetroit
@ScottDaniels447,@ITMFA_NOW
@linmp1031,@DonnaDo89792101
@3jekk,@JediMasterDre
@RobertIger,@ABC
@akasue6,@bettinamhornsby
@N0toriousKat,@ChevrierMelissa
@__TruthSeeker_,@TrixieGee1
@Akemm2Annette,@JaniceTXBlessed
@PatriotJayne,@TED_CHESS
@MariettaPosts,@MiniBronson09
@BeingGrateful5,@KeshT
@WhiteRa8392,@Sylvysue2
@friendlyone22,@JenHutcherson
@IePeta,@DemSocAss
@IePeta,@Ebony_Dynamite
@DickPumpaloaf,@jamesspider4
@NewprezWanted,@JackisBack
@JessHar96703753,@TC_resistance
@hundsnus,@jkoz069
@MIUP22,@chipcoffey
@Think_Bigly,@TruthWarriorM
@DonnaDo89792101,@NerdyGirlsRulz
@SharylAttkisson,@MARS0411
@SharylAttkisson,@therealroseanne
@DJSeanHaley,@DrJamesJTeeth
@NikkiNarms,@GloriousInanity
@HippieGod__,@E_Rad_E_Rock
@foxandfriends,@therealroseanne
@YgageG,@feed_the_revolt
@JTrigger,@jmarquiso
@DrShayPhD,@Batty_Replicant
@josephpatrickla,@eleebeck
@baxbooksdeux,@seraph76
@puffballsgirl,@mal_samantha
@DJTFTW,@Su19712Su1971
@JudyFrances1975,@lil_lilly001
@cat_blueyes_44,@yinzerbinch
@MrsWilliams___,@alyciacooper
@kelleent,@385parkplace
@LordOdin57,@Who_Planted_A
@missmindylouwho,@ChrissySami1
@mmueller0423,@prestoluh
@ChristineMAGAMD,@jewelofjkt
@realDonaldTrump,@AP
@YarnFumes1,@Exodusi1
@FredrickDale53,@mamabearyealey
@EckhartsLadder,@MSamenfink
@Lrihendry,@PhallanR
@SaulGood18,@laurie_resists
@youcrazypants,@JohnEdenfield77
@MillikenCrow,@bonario_debMart
@mmnew81,@bikemerc1
@artofgb2k,@HtownHeinlein
@PDejarnette,@LaVitaBella1114
@seano21401,@StOmerGodfrey
@seano21401,@intheMatrixxx
@seano21401,@jlongfieldsmith
@BookEnoch,@elenochle
@217Savage,@gotham01
@BenZoldan,@DevonAntonetti
@DaleLee919,@SinistarMoca
@ClassicMan1979,@archct
@OtterWithKids,@EMoThaGr8
@OtterWithKids,@Ysamom
@Petuniamay,@youcrazypants
@y_m_k_m,@arichtall
@DeannaSader,@ANGIELEEE2
@whatupJD3,@tune876
@ShomahKhoobi,@MonizGilchrist
@PrplGld,@norwegian76
@hollyricheson21,@ChadBull420
@redlacez,@missmindylouwho
@redlacez,@ChrissySami1
@jefferyclark,@JohnEdenfield77
@jefferyclark,@youcrazypants
@monspushing,@HippieGod__
@monspushing,@E_Rad_E_Rock
@msue1000,@hotnfathered
@mal_samantha,@blksknhead1739
@abbafanatic12,@jabberwky99
@cgivens21,@OnDemonbreunSt
@JohnOSmith75,@MelvinBagby
@MeSharona1,@ShomahKhoobi
@tjoy7,@LyricalTrump
@therealroseanne,@FoxNews
@chrisb_writer,@haagendas
@chrisb_writer,@shiftywatt
@RacerX57217102,@necrophiliadeli
@phoking_kel,@TheKurdishMamba
@kirkpatrickcp,@DustyCorgill
@TrumpSuxHard,@GreatLakesTees
@SailorDemocracy,@JoeClowers1
@SailorDemocracy,@GinnyMac55
@SailorDemocracy,@Erick_O_524
@SailorDemocracy,@devdev324
@annefcav,@radiographicman
@dnidfo,@Eggs2288
@icrewhelos,@lemire_suzanne
@icrewhelos,@Sadiesayit
@coyotlo,@djthejournalist
@DEn8tive77,@scandallk
@Q221911cavuA22,@flowers3712
@V4V1ndetta,@jlongfieldsmith
@josh_mark_goerg,@MaurizioTweets
@HassyPatassy,@luvnra52
@1st_and_only,@ScottDaniels447
@1st_and_only,@thepolyjunki
@1st_and_only,@JerriSwann21
@1st_and_only,@ITMFA_NOW
@virgoka,@Fingeroflinda1
@BlondJedi,@blaupfeil
@kwickymartkidd,@gohanmatters1
@TheTweetwit,@corcoran_sr
@AnnieMendelsohn,@ted_wal
@Pigletscooter,@DavernSw
@SteveFM20,@ForeverYoungGSW
@stuchbery,@Connor_Bowman
@ghosted_coma,@PricklyPam
@holachola,@LosEstevan
@FrozenSicleGirl,@NerdyGirlsRulz
@FrozenSicleGirl,@DonnaDo89792101
@BarryBonifay,@whthfk1
@charlynfincher,@MightyQuinnUSA
@2ndfor1st,@MARS0411
@OnlyHearSeeHate,@RoyMooresHorse
@Nitrouso2,@orangecone21
@RoyMooresHorse,@the_colin
@arvinforoutan,@Kno
@arvinforoutan,@KendrianaSpeaks
@wthanyway,@lj_summers
@andIwillpersist,@mtrenew
@Jaylikes__,@ArrrrhBeeeee
@icrewhelos,@CNappz
@DarbaDee,@leemacveigh
@kwickymartkidd,@Cameron57300706
@RGlennCooper1,@ElderLansing
@MomWifeGrammy,@Mightymouth5413
@GinaLuciana,@skeeya
@PaulSorrentino3,@JodiCPhoto
@BBCPropaganda,@Waller_Josh_PF
@brucedepenha,@iDizOrder
@JoeMoePgh,@OssannaF
@EthanWheeler78,@QuiGivesaShit
@davecdnb,@Biznezz_Prez
@pedsal,@acidroposy
@therealroseanne,@thehill
@ChrisParry,@irsosmartfan
@libbyannehess,@WattzzD
@libbyannehess,@JamesBu62172122
@Gamerben111,@parkslopegrrl
@grykon,@leyles7
@Pr1vate_Hud50n,@techseargentch1
@Jtmeier23,@katie226610
@therealroseanne,@THR
@Myrydyan1,@valsfedup
@zigzdiamondz2,@Longbow141
@JAmato426,@timothyhaskell
@overthewall1630,@ThreeTouchDowns
@Redshu22,@TwitterMoments
@brandmitchell,@shadowbanned89
@HenHousePodcast,@KyleJamesHoward
@Leftfinished,@IePeta
@Leftfinished,@DemSocAss
@Leftfinished,@Ebony_Dynamite
@RonPritchard,@Jirtney
@104SONADOR,@bleudawn7
@104SONADOR,@PATRIQT_1776
@104SONADOR,@SafiMaasai
@williamlegate,@therealroseanne
@JslayerT,@ILoveHillaryC
@starofthenight5,@firebird20001
@vicpenley,@votedtrump_p
